Expert_ID,Name,P_Doom_Estimate_Qualitative,P_Doom_Lower_Bound_Percent,P_Doom_Upper_Bound_Percent,Estimate_Confidence_Qualitative,Stated_Time_Horizon_Raw,Primary_Estimate_Horizon_Year,P_Doom_Estimate_By_2035_Percent,P_Doom_Estimate_By_2050_Percent,P_Doom_Estimate_By_2100_Percent,Reasoning_Categories,Reasoning_Summary,Source_URL,Estimate_Date,Interpretation_Notes
1,Eliezer Yudkowsky,>99%,99,100,Very High,"Implied Near-Term/Decades",2040,90,95,99,"Alignment Difficulty, Compute Overhang, Racing Dynamics","Claims current ML trajectory leads to doom due to alignment difficulty",https://www.lesswrong.com/posts/uMQ3cqWDPHhjtiesc/agi-ruin-a-list-of-lethalities,2022-11,"Bounds from '>99%'. Timeline interp. based on strong pessimism & 'inevitable trajectory' argument implying near-mid term risk is extremely high."
2,Paul Christiano,~20%,15,25,Medium,"Implied Decades/Century",2070,5,10,20,"Alignment Difficulty, Governance Failure","Based on technical analysis of AI systems and potential solutions to alignment",https://www.lesswrong.com/posts/HduCjmXTBD4xYTegv/my-current-thoughts-on-ai-risk,2021-12,"Bounds from '~20%'. Midpoint 20% used notionally for 2070/2100. Timeline interp. based on technical focus suggesting risk scales with capability over decades."
3,Sam Altman,~33%,25,40,Medium,"Implied Century",2100,5,15,33,"Misuse, Control Issues","Concerned about misuse and control issues but optimistic about solutions",https://www.theatlantic.com/technology/archive/2023/07/sam-altman-openai-chatgpt-existential-risk/674701/,2023-07,"Bounds based on general estimate ~33%. Assigned main estimate to 2100, interpolated earlier based on 'optimistic on solutions' suggesting risk isn't immediate max."
4,Geoffrey Hinton,>50%,50,70,Medium,"30-50 years",2073,10,30,60,"Capability Growth, Control Issues","Changed views after leaving Google, concerned about AI surpassing human intelligence",https://www.reuters.com/technology/ai-pioneer-hinton-says-ai-could-pose-existential-threat-2023-05-05/,2023-05,"Bounds inferred from '>50%'. Used midpoint 60%. Horizon approx 2073 based on '30-50 years'. Interpolated timeline based on capability focus."
5,Stuart Russell,"Significant",30,70,High,"Implied Century",2100,5,20,50,"Misaligned Objectives, Control Issues","Argues current AI approaches are flawed and need rethinking",https://www.amazon.com/Human-Compatible-Artificial-Intelligence-Problem/dp/0525558616,2019-10,"Interpreted 'Significant' as 30-70%, used midpoint 50% for 2100. Distributed risk over time based on 'fundamental flaw' argument scaling with capability."
6,Demis Hassabis,~10%,5,15,Medium,"Implied Century",2100,1,3,10,"Safety Solutions, Governance","Believes risks are manageable with proper safety measures",https://time.com/6288890/demis-hassabis-deepmind-ai/,2023-07,"Bounds from '~10%', used 10% midpoint for 2100. Low near-term reflecting belief in manageability, risk increasing later if solutions fail."
7,Elon Musk,10-20%,10,20,Medium,"5-10 years maybe, up to 20",2043,5,10,15,"Racing Dynamics, Governance Failure","Concerned about AI safety but continues to invest in AI development",https://pauseai.info/pdoom,2023-04,"Used 15% midpoint. Horizon interpretation based on varied statements focusing on near-mid term acceleration. Spread risk."
8,Yoshua Bengio,~10%,5,15,Medium,"Implied Century",2100,2,5,10,"Safety Research, Governance","Initially skeptical of risks, now advocates for AI safety research",https://www.technologyreview.com/2023/05/02/1072522/yoshua-bengio-worried-about-ai/,2023-05,"Bounds from '~10%', used 10% midpoint for 2100. Shift in view suggests increasing concern, but focus on research implies hope for mitigation."
9,Andrew Ng,<1%,0,1,High,"Unspecified/Long",2100,0,0,1,"Technical Limitations, Present Focus","Believes AI risks are overstated, focuses on practical applications",https://www.wired.com/story/andrew-ng-ai-pioneer-humans-work-with-ai/,2022-03,"Bounds from '<1%'. Assigned near zero risk across all timelines due to strong skepticism."
10,Dario Amodei,~15%,10,20,Medium,"Implied Century",2100,5,10,15,"Alignment Challenges, Safety Research","Concerned about alignment challenges but believes they're solvable",https://80000hours.org/podcast/episodes/dario-amodei-anthropic/,2022-05,"Bounds from '~15%', used 15% midpoint for 2100. Focus on solvable challenges suggests risk is not immediate but grows with capability."
11,Nick Bostrom,~30%,20,40,Medium,"Implied Century (Superintelligence)",2100,5,15,30,"Control Problem, Misaligned Objectives","Argues superintelligence poses existential risk if not properly aligned",https://www.amazon.com/Superintelligence-Dangers-Strategies-Nick-Bostrom/dp/0198739834,2014-07,"Bounds from '~30%', used 30% midpoint for 2100. Risk tied to superintelligence, likely mid-to-long term based on book's themes."
12,Max Tegmark,~10%,5,15,Medium,"Implied Century",2100,2,5,10,"Governance, Long-term Risk","Advocates for beneficial AI research and governance",https://futureoflife.org/team/max-tegmark/,2021-09,"Bounds from '~10%', used 10% midpoint for 2100. Focus on governance and long-term suggests risk accrues over time."
13,Jaan Tallinn,~30%,20,40,Medium,"Implied Century",2100,5,15,30,"Self-improvement, Control Issues","Skype co-founder who funds AI safety research due to concerns",https://www.theguardian.com/technology/2016/feb/28/jaan-tallinn-artificial-intelligence-extinction-risk,2020-06,"Bounds from '~30%', used 30% midpoint for 2100. Concern about self-improvement implies risk scales significantly with capability."
